chapter_id,chapter_name
61001,2 Peter 1
61002,2 Peter 2
61003,2 Peter 3
62001,1 John 1
62002,1 John 2
62003,1 John 3
62004,1 John 4
62005,1 John 5
63001,2 John 1
64001,3 John 1
65001,Jude 1
66001,Revelation 1
66002,Revelation 2
66003,Revelation 3
66004,Revelation 4
66005,Revelation 5
66006,Revelation 6
66007,Revelation 7
66008,Revelation 8
66009,Revelation 9
66010,Revelation 10
66011,Revelation 11
66012,Revelation 12
66013,Revelation 13
66014,Revelation 14
66015,Revelation 15
66016,Revelation 16
66017,Revelation 17
66018,Revelation 18
66019,Revelation 19
66020,Revelation 20
66021,Revelation 21
66022,Revelation 22
